2022-04-18 08-01-02:已进入聊天室 your-channel
2022-04-18 08-12-44:收到来自 Violeta 的信息：因为别人聊的我插不上话。。。
2022-04-18 08-12-55:收到来自 tcg 的信息：啊这
2022-04-18 08-13-10:收到来自 Violeta 的信息：哈哈哈
2022-04-18 08-13-11:收到来自 tcg 的信息：别人在聊啥。_。
2022-04-18 08-13-35:收到来自 To21_squirrel 的信息：。。。
2022-04-18 08-13-43:收到来自 To21_squirrel 的信息：松鼠不好吃
2022-04-18 08-13-49:收到来自 To21_squirrel 的信息：💦💦
2022-04-18 08-13-53:收到来自 Violeta 的信息：松鼠是可以吃的吗
2022-04-18 08-13-56:收到来自 To21_squirrel 的信息：。。
2022-04-18 08-13-59:收到来自 tcg 的信息：好像是可以的
2022-04-18 08-14-07:收到来自 To21_squirrel 的信息：她要把我烤了
2022-04-18 08-14-09:收到来自 tcg 的信息：应该就没有不能吃的东西吧
2022-04-18 08-14-16:收到来自 To21_squirrel 的信息：。。。
2022-04-18 08-14-21:收到来自 tcg 的信息：蛤
2022-04-18 08-14-21:收到来自 SprinkleBot 的信息：σ`∀´) ﾟ∀ﾟ)σ
2022-04-18 08-14-26:收到来自 Violeta 的信息：若干小时之后都烤成碳了吧
2022-04-18 08-14-28:收到来自 tcg 的信息：还在啊
2022-04-18 08-14-39:收到来自 tcg 的信息：炭，草
2022-04-18 08-14-42:收到来自 tcg 的信息：蛤
2022-04-18 08-14-42:收到来自 SprinkleBot 的信息：σ`∀´) ﾟ∀ﾟ)σ
2022-04-18 08-14-50:收到来自 SprinkleBot 的信息：σ`∀´) ﾟ∀ﾟ)σ
2022-04-18 08-14-59:收到来自 To21_squirrel 的信息：。。。
2022-04-18 08-15-08:检测到 Violeta 离开聊天室
2022-04-18 08-15-08:发送信息：欢迎下次再来，Violeta ！
2022-04-18 08-15-09:收到来自 SprinkleBot 的信息：bye(ノﾟ∀ﾟ)
2022-04-18 08-15-10:收到来自 To21_squirrel 的信息：毛都没了……
2022-04-18 08-15-12:收到来自 SprinkleBot 的信息：σ`∀´) ﾟ∀ﾟ)σ
2022-04-18 08-15-24:检测到 Violeta 进入聊天室
2022-04-18 08-15-24:发送信息：热烈欢迎 Violeta 入场！
2022-04-18 08-15-24:收到来自 SprinkleBot 的信息：hey!
2022-04-18 08-15-28:收到来自 Corpse_wine 的信息：hi
2022-04-18 08-15-39:收到来自 tcg 的信息：蛤
2022-04-18 08-15-39:收到来自 SprinkleBot 的信息：σ`∀´) ﾟ∀ﾟ)σ
2022-04-18 08-15-46:收到来自 Corpse_wine 的信息：我松鼠吃玩了
2022-04-18 08-15-50:收到来自 Corpse_wine 的信息：哈哈哈
2022-04-18 08-15-54:收到来自 tcg 的信息：薇尔莉塔桑，你喊一句蛤
2022-04-18 08-15-54:收到来自 SprinkleBot 的信息：σ`∀´) ﾟ∀ﾟ)σ
2022-04-18 08-16-05:收到来自 Violeta 的信息：🐿️
2022-04-18 08-16-12:收到来自 Violeta 的信息：蛤？
2022-04-18 08-16-12:收到来自 SprinkleBot 的信息：σ`∀´) ﾟ∀ﾟ)σ
2022-04-18 08-16-28:收到来自 tcg 的信息：喊完之后会有可爱的斯普林卡bot出现哦~
2022-04-18 08-16-34:收到来自 4n0n4me 的信息：蛤蟆和青蛙难以界定
2022-04-18 08-16-34:收到来自 SprinkleBot 的信息：σ`∀´) ﾟ∀ﾟ)σ
2022-04-18 08-16-40:收到来自 Violeta 的信息：焯
2022-04-18 08-16-42:收到来自 tcg 的信息：guruguruguru
2022-04-18 08-16-43:收到来自 4n0n4me 的信息：青蛙和蛤蟆十分相似
2022-04-18 08-16-43:收到来自 SprinkleBot 的信息：σ`∀´) ﾟ∀ﾟ)σ
2022-04-18 08-16-47:收到来自 To21_squirrel 的信息：确实
2022-04-18 08-16-55:收到来自 Corpse_wine 的信息：拿黄泥包松鼠我小时候就吃过，很好吃
2022-04-18 08-17-00:收到来自 To21_squirrel 的信息：。。
2022-04-18 08-17-01:收到来自 Corpse_wine 的信息：还有麻雀
2022-04-18 08-17-03:收到来自 To21_squirrel 的信息：真的？！
2022-04-18 08-17-04:收到来自 tcg 的信息：甚至对他私聊也行~
2022-04-18 08-17-06:收到来自 4n0n4me 的信息：蛤蜊
2022-04-18 08-17-06:收到来自 SprinkleBot 的信息：σ`∀´) ﾟ∀ﾟ)σ
2022-04-18 08-17-06:收到来自 Corpse_wine 的信息：蛇也是
2022-04-18 08-17-10:收到来自 To21_squirrel 的信息：吃过松鼠？
2022-04-18 08-17-12:收到来自 To21_squirrel 的信息：蛇？
2022-04-18 08-17-13:收到来自 SprinkleBot 的信息：σ`∀´) ﾟ∀ﾟ)σ
2022-04-18 08-17-14:收到来自 Corpse_wine 的信息：昂
2022-04-18 08-17-16:收到来自 tcg 的信息：蛤、
2022-04-18 08-17-16:收到来自 SprinkleBot 的信息：σ`∀´) ﾟ∀ﾟ)σ
2022-04-18 08-17-19:收到来自 To21_squirrel 的信息：……我认识你吗
2022-04-18 08-17-31:收到来自 To21_squirrel 的信息：有点吓人……
2022-04-18 08-17-37:收到来自 Corpse_wine 的信息：吃什么都不奇怪吧
2022-04-18 08-17-41:收到来自 tcg 的信息：@4n0n4me 问个比较现实的问题
2022-04-18 08-17-41:收到来自 Violeta 的信息：我妈妈说蛇很好吃
2022-04-18 08-17-47:收到来自 Corpse_wine 的信息：系
2022-04-18 08-17-50:收到来自 To21_squirrel 的信息：shi呢
2022-04-18 08-18-01:收到来自 To21_squirrel 的信息：@Corpse_wine 
2022-04-18 08-18-12:收到来自 Corpse_wine 的信息：蛇在烤的时候很有意思的
2022-04-18 08-18-17:收到来自 Violeta 的信息：？
2022-04-18 08-18-21:收到来自 Violeta 的信息：为什么
2022-04-18 08-18-23:收到来自 shisi 的信息：想吃蛇
2022-04-18 08-18-26:收到来自 Corpse_wine 的信息：（我是活烤）
2022-04-18 08-18-30:收到来自 To21_squirrel 的信息：怎么就有意思了
2022-04-18 08-18-34:收到来自 To21_squirrel 的信息：他会动？？
2022-04-18 08-18-35:收到来自 Violeta 的信息：哦。。。@Corpse_wine 
2022-04-18 08-18-42:收到来自 shisi 的信息：我玩过大臂这么粗的蛇
2022-04-18 08-18-50:收到来自 To21_squirrel 的信息：。。
2022-04-18 08-18-52:收到来自 Violeta 的信息：活烤g肯定会动啊
2022-04-18 08-18-52:收到来自 To21_squirrel 的信息：厉害
2022-04-18 08-18-54:收到来自 Corpse_wine 的信息：它鳞片下有一排腿
2022-04-18 08-18-57:收到来自 To21_squirrel 的信息：。。。
2022-04-18 08-19-01:收到来自 shisi 的信息：但是只吃过黄鳝
2022-04-18 08-19-02:收到来自 To21_squirrel 的信息：想吐了……
2022-04-18 08-19-02:收到来自 Violeta 的信息：啥？？？
2022-04-18 08-19-07:收到来自 To21_squirrel 的信息：@shisi 我也是
2022-04-18 08-19-23:收到来自 Corpse_wine 的信息：一烤就全冒出来挣扎
2022-04-18 08-19-27:收到来自 To21_squirrel 的信息：……
2022-04-18 08-19-35:收到来自 Violeta 的信息：艹，好恶心
2022-04-18 08-19-38:收到来自 Corpse_wine 的信息：哈哈哈
2022-04-18 08-19-42:收到来自 shisi 的信息：你以为我没看过贝爷啊
2022-04-18 08-19-57:收到来自 shisi 的信息：去头
2022-04-18 08-20-05:收到来自 shisi 的信息：埋沙里
2022-04-18 08-20-25:收到来自 Corpse_wine 的信息：用黄泥可以去毛
2022-04-18 08-20-35:收到来自 To21_squirrel 的信息：。。
2022-04-18 08-20-37:收到来自 Corpse_wine 的信息：这是我总结出来的
2022-04-18 08-20-42:收到来自 To21_squirrel 的信息：想吐。。
2022-04-18 08-20-42:收到来自 shisi 的信息：开水去皮
2022-04-18 08-20-44:收到来自 Violeta 的信息：想吃烧烤了，出门太急没吃早饭
2022-04-18 08-20-52:收到来自 Corpse_wine 的信息：兔子也是这么烤的
2022-04-18 08-20-54:收到来自 shisi 的信息：去年捉了一条五步蛇
2022-04-18 08-21-05:收到来自 shisi 的信息：装在罐子里
2022-04-18 08-21-09:收到来自 shisi 的信息：观察了好几天
2022-04-18 08-21-13:收到来自 To21_squirrel 的信息：……对蛇没有研究
2022-04-18 08-21-17:收到来自 Violeta 的信息：捏吗，越说越离谱了
2022-04-18 08-21-30:收到来自 shisi 的信息：早知道就吃了
2022-04-18 08-21-36:收到来自 Corpse_wine 的信息：我都是把蛇活活玩死再扔掉的
2022-04-18 08-21-52:收到来自 shisi 的信息：我把他放了
2022-04-18 08-21-59:收到来自 Corpse_wine 的信息：毕竟有时没带火
2022-04-18 08-22-05:收到来自 Corpse_wine 的信息：烤不了
2022-04-18 08-22-11:收到来自 Violeta 的信息：我之前房间里逮到了几只蜘蛛，后来被我给泡瓶子里了，现在还在
2022-04-18 08-22-22:收到来自 Corpse_wine 的信息：。。。
2022-04-18 08-22-27:收到来自 Corpse_wine 的信息：蜘蛛？
2022-04-18 08-22-31:收到来自 Corpse_wine 的信息：什么样？
2022-04-18 08-22-51:收到来自 shisi 的信息：我喜欢玩火
2022-04-18 08-23-04:收到来自 Violeta 的信息：就小跳蛛和小一点的长腿蜘蛛
2022-04-18 08-23-04:收到来自 shisi 的信息：冬天去河滩上放火
2022-04-18 08-23-04:收到来自 Corpse_wine 的信息：放火烧院子
2022-04-18 08-23-22:收到来自 shisi 的信息：烧一片芦苇杂草
2022-04-18 08-23-28:收到来自 Corpse_wine 的信息：哈哈哈哈
2022-04-18 08-23-28:收到来自 4n0n4me 的信息：好家伙
2022-04-18 08-23-29:收到来自 shisi 的信息：美滋滋
2022-04-18 08-23-47:收到来自 Corpse_wine 的信息：你们见过鸡上树吗？
2022-04-18 08-23-50:收到来自 Corpse_wine 的信息：哈哈哈
2022-04-18 08-23-58:收到来自 shisi 的信息：没有
2022-04-18 08-24-06:收到来自 shisi 的信息：见过鸡飞
2022-04-18 08-24-08:收到来自 Violeta 的信息：还有一只咬的我手红了两天的一厘米大的蚂蚁
2022-04-18 08-24-16:收到来自 Corpse_wine 的信息：哈哈哈
2022-04-18 08-24-34:收到来自 Corpse_wine 的信息：着蚂蚁有思想
2022-04-18 08-24-38:收到来自 Corpse_wine 的信息：哈哈哈
2022-04-18 08-24-45:收到来自 Violeta 的信息：后来被我
2022-04-18 08-24-47:收到来自 shisi 的信息：小时候看蚂蚁能看一天
2022-04-18 08-24-54:收到来自 Violeta 的信息：装瓶里憋死了
2022-04-18 08-25-00:收到来自 shisi 的信息：看蚂蚁围猎西瓜虫
2022-04-18 08-25-15:收到来自 Violeta 的信息：然后就泡酒精里了
2022-04-18 08-25-35:检测到 t_c_g 进入聊天室
2022-04-18 08-25-35:发送信息：热烈欢迎 t_c_g 入场！
2022-04-18 08-25-36:收到来自 SprinkleBot 的信息：hey!
2022-04-18 08-25-38:收到来自 Corpse_wine 的信息：hi
2022-04-18 08-25-40:收到来自 t_c_g 的信息：草了
2022-04-18 08-25-42:收到来自 Corpse_wine 的信息：？
2022-04-18 08-25-43:收到来自 Violeta 的信息：哈喽
2022-04-18 08-25-49:收到来自 Violeta 的信息：咋？
2022-04-18 08-25-54:收到来自 Corpse_wine 的信息：咋？
2022-04-18 08-26-23:检测到 tcg 离开聊天室
2022-04-18 08-26-24:发送信息：欢迎下次再来，tcg ！
2022-04-18 08-26-24:收到来自 SprinkleBot 的信息：bye(ノﾟ∀ﾟ)
2022-04-18 08-26-28:收到来自 Violeta 的信息：？
2022-04-18 08-26-29:收到来自 Corpse_wine 的信息：。。。
2022-04-18 08-26-39:收到来自 Corpse_wine 的信息：掉线了？
2022-04-18 08-26-45:收到来自 Violeta 的信息：maybe
2022-04-18 08-26-52:收到来自 Corpse_wine 的信息：还是僵尸号？
